"year","mhw_days_1985_baseline","mhw_days_1991_baseline"
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,5,0
1994,0,0
1995,0,0
1996,9,5
1997,20,6
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,9,0
2004,0,0
2005,61,41
2006,6,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,49,18
2015,46,10
2016,61,58
2017,0,0
2018,0,0
2019,61,0
2020,5,0
2021,0,0
2022,0,0
2023,0,0
2024,0,0
