Moor,Year,Day ice retreat,day_temp_above1,Min_WS_temp,peak_spring_bloom,Max_spring_bloom_value,Max_fall_temp,Day_first_storm,Day_overturn,Max_SF_temp,Peak_fall_bloom,Max_fall_bloom_value
M8,1999,158,NA,NA,NA,NA,NA,265,NA,NA,NA,NA
M8,2000,134,NA,NA,NA,NA,NA,285,NA,NA,NA,NA
M8,2001,141,NA,NA,NA,NA,NA,275,NA,NA,NA,NA
M8,2002,136,NA,NA,NA,NA,NA,295,NA,NA,NA,NA
M8,2003,117,NA,NA,NA,NA,NA,285,NA,NA,NA,NA
M8,2004,128,NA,NA,NA,NA,11.2,285,NA,225,290,2.8
M8,2005,122,131,-1.76,133,17,10,315,NA,239,259,4.8
M8,2006,144,176,-1.79,144,10.3,9.1,335,NA,241,315,10.3
M8,2007,144,186,-1.76,161,35.4,9.9,295,NA,260,244,15.3
M8,2008,152,187,-1.8,160,49.6,8.6,275,NA,257,298,5.7
M8,2009,155,185,-1.78,166,49.3,7.9,265,NA,249,NA,NA
M8,2010,135,185,-1.77,NA,NA,9.7,305,NA,254,NA,NA
M8,2011,141,217,-1.76,NA,NA,1.8,265,NA,NA,NA,NA
M8,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M8,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M8,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M8,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M8,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M8,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M8,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M8,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M8,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
